case_id,category,strategy,format_pass,content_score,latency_ms,input_tokens,output_tokens,total_tokens,model_name,score_rationale,format_details
CASE_001,standard,zero_shot,True,5,105.0,52,33,85,mock-llm-v1 (zero_shot),Criteria passed: 3/3,Valid plain text response meeting minimum length requirement.
CASE_002,standard,zero_shot,False,3,105.0,45,30,75,mock-llm-v1 (zero_shot),Criteria passed: 2/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_003,standard,zero_shot,True,4,65.0,46,36,82,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_004,standard,zero_shot,False,3,95.0,46,33,79,mock-llm-v1 (zero_shot),Criteria passed: 2/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_005,standard,zero_shot,True,3,70.0,48,36,84,mock-llm-v1 (zero_shot),Criteria passed: 1/3,Valid plain text response meeting minimum length requirement.
CASE_006,standard,zero_shot,True,4,105.0,57,44,101,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_007,standard,zero_shot,True,4,95.0,58,33,91,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_008,standard,zero_shot,False,4,95.0,53,33,86,mock-llm-v1 (zero_shot),Criteria passed: 3/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_009,standard,zero_shot,True,4,55.0,56,34,90,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_010,standard,zero_shot,False,3,110.0,58,37,95,mock-llm-v1 (zero_shot),Criteria passed: 2/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_011,standard,zero_shot,True,4,70.0,53,37,90,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_012,standard,zero_shot,False,4,50.0,46,34,80,mock-llm-v1 (zero_shot),Criteria passed: 3/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_013,standard,zero_shot,False,3,105.0,53,36,89,mock-llm-v1 (zero_shot),Criteria passed: 2/3; Format issue: Expected bulleted steps but only found 0 bullet points.,Expected bulleted steps but only found 0 bullet points.
CASE_014,standard,zero_shot,True,3,115.0,54,34,88,mock-llm-v1 (zero_shot),Criteria passed: 1/3,Valid plain text response meeting minimum length requirement.
CASE_015,standard,zero_shot,True,5,70.0,56,28,84,mock-llm-v1 (zero_shot),Criteria passed: 3/3,Valid plain text response meeting minimum length requirement.
CASE_016,standard,zero_shot,True,4,65.0,54,33,87,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
CASE_017,standard,zero_shot,True,4,110.0,50,37,87,mock-llm-v1 (zero_shot),Criteria passed: 2/3,Valid plain text response meeting minimum length requirement.
