doc_id,doc_type,quality_tier,status,routing_decision,confidence_score,schema_valid,rejection_reason,total_fields,exact_matches,normalized_matches
DOC_001,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_002,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_003,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_004,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_005,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_006,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_007,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_008,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_009,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_010,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_011,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_012,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_013,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_014,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_015,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_016,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_017,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_018,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_019,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_020,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
DOC_021,invoice,clean,SUCCESS,STRAIGHT_THROUGH_PROCESSING,0.964,True,,7,7,7
